Key,Category,Snapshot Role,Digest Role,Proof / Evidence
text.targetContents,text,RECONSTRUCTIVE,REQUIRED,Exact target text; formatting-only invariant
text.storyFingerprint,text,COVERAGE_ONLY,REQUIRED,6/6 structural canary; raw UTF-16 story.contents path
text.storyParagraphCount,text,COVERAGE_ONLY,REQUIRED,Paragraph insertion/deletion collateral detector
paragraph.appliedParagraphStyle,paragraph,RECONSTRUCTIVE,REQUIRED,Exact style identity
paragraph.overrideState,paragraph,COVERAGE_ONLY,REQUIRED,Live override-state result
paragraph.alignToBaseline,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.appliedNumberingList,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.autoLeading,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.balanceRaggedLines,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.bulletsAlignment,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.bulletsAndNumberingListType,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.bulletsCharacterStyle,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.bulletsTextAfter,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.bunriKinshi,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.characterDirection,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.cjkGridTracking,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.composer,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.desiredGlyphScaling,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.desiredLetterSpacing,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.desiredWordSpacing,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.dropCapCharacters,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.dropCapLines,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.dropCapStyle,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.dropcapDetail,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.firstLineIndent,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.gridAlignFirstLineOnly,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
paragraph.gridAlignment,paragraph,RECONSTRUCTIVE,REQUIRED,180-property empirical census + serialized reconstruction
